,Check,with,Pin
View : av_func_setup_pw_vmin_tmin_cw
Startpoint : (R) u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/u_gen_clk_div2_sub1g_clk/s_change_detect_sr_reg_2_/CK
Clock : (R) pll_mux_clk
Endpoint : (R) u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/u_gen_clk_div2_sub1g_clk/div_ratio_d3_reg_1_/D
Clock : (R) pll_mux_clk
Slack : =   -0.627
Instance_name,trans,fanout,delay
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_pll_wrapper/u_pllts40lplaint2,0.041,1,0.004
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_pll_wrapper/PlaceOpt_C_FE_OFC324_w_pll_foutpostdiv,0.082,1,0.115
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/PD_CORE_ISO_CPU1_2_CORE_0_731_UPF_ISO,0.074,2,0.131
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/u_cyip_dig_clk_switch_pll_out/CTS_ccl_a_buf_18146,0.052,2,0.065
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/u_cyip_dig_clk_switch_pll_out/u_clk_mux_out/gen_clk_mux_gate_u_clk_mux_gate,0.019,1,0.100
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/u_cyip_dig_clk_switch_pll_out/u_test_clk_mux_out/gen_clk_mux_gate_u_clk_mux_gate,0.059,1,0.129
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/u_cyip_dig_clk_switch_pll_out/CTS_ccl_a_buf_18138,0.071,1,0.091
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/u_cyip_dig_clk_switch_pll_out/u_clkgate_out/gen_clk_gate_u_clk_gate,0.065,1,0.541
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/CTS_ccl_a_buf_18130,0.096,3,0.102
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/CTS_cdb_buf_22952,0.044,1,0.066
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/CTS_cpc_drv_buf_27226,0.030,1,0.079
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/CTS_cdb_buf_22953,0.064,1,0.106
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/CTS_cdb_buf_22954,0.079,1,0.113
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/CTS_cdb_buf_22955,0.078,1,0.099
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/CTS_cdb_buf_22956,0.055,1,0.088
